Rk,Player,Age,Tm,GP,GS,W,L,T/O,GA,SA,SV,SV%,GAA,SO,GPS,MIN,QS,QS%,RBS,GA%-,GSAA,G,A,PTS,PIM,Year
22,Dan Ellis\ellisda01,34,FLA,8,8,4,3,1,19,221,202,0.914,2.34,1,1.3,486,4,0.5,0,,,0,0,0,0,2015
23,Ray Emery\emeryra01,32,PHI,31,25,10,11,7,80,758,678,0.894,3.06,0,2.7,1570,13,0.52,6,124,-15.3,0,0,0,4,2015
24,Jhonas Enroth\enrotjh01,26,TOT,50,44,18,26,2,145,1504,1359,0.904,3.07,2,7,2834,20,0.455,7,113,-16.63,0,0,0,0,2015
24,Jhonas Enroth\enrotjh01,26,BUF,37,35,13,21,2,120,1237,1117,0.903,3.27,1,5.7,2204,16,0.457,6,114,-14.42,0,0,0,0,2015
24,Jhonas Enroth\enrotjh01,26,DAL,13,9,5,5,0,25,267,242,0.906,2.38,1,1.3,630,4,0.444,1,,,0,0,0,0,2015
25,Viktor Fasth\fasthvi01,32,EDM,26,24,6,15,3,76,681,605,0.888,3.41,0,1.9,1336,9,0.375,9,131,-17.87,0,0,0,0,2015
26,Marc-Andre Fleury\fleurma01,30,PIT,64,64,34,20,9,146,1831,1685,0.92,2.32,10,12.2,3776,35,0.547,6,93,10.28,0,1,1,6,2015
27,Anton Forsberg\forsban01,22,CBJ,5,5,0,4,0,20,149,129,0.866,4.69,0,0,256,0,0,1,,,0,0,0,0,2015
28,John Gibson\gibsojo02,21,ANA,23,21,13,8,0,58,674,616,0.914,2.6,1,4,1340,13,0.619,4,101,-0.47,0,0,0,0,2015
29,Thomas Greiss\greisth01,29,PIT,20,18,9,6,3,50,546,496,0.908,2.59,0,2.9,1159,8,0.444,2,107,-3.4,0,0,0,0,2015
30,Troy Grosenick\grosetr01,25,SJS,2,2,1,1,0,3,58,55,0.948,1.52,1,0.6,118,1,0.5,1,,,0,0,0,0,2015
31,Philipp Grubauer\grubaph01,23,WSH,1,1,1,0,0,2,25,23,0.92,1.85,0,0.2,65,1,1,0,,,0,0,0,0,2015
32,Jonas Gustavsson\gustajo01,30,DET,7,6,3,3,1,15,168,153,0.911,2.56,1,0.9,351,3,0.5,2,,,0,0,0,2,2015
33,Matt Hackett\hackema01,24,BUF,5,4,0,4,1,18,155,137,0.884,4.32,0,0.4,250,1,0.25,1,,,0,0,0,0,2015
34,Jaroslav Halak\halakja01,29,NYI,59,59,38,17,4,144,1673,1529,0.914,2.43,6,9.9,3550,33,0.559,7,101,-1.2,0,1,1,2,2015
35,Andrew Hammond\hammoan01,26,OTT,24,23,20,1,2,42,707,665,0.941,1.79,3,6.5,1411,18,0.783,1,70,18.34,0,1,1,0,2015
36,Jonas Hiller\hillejo01,32,CGY,52,44,26,19,4,113,1376,1263,0.918,2.36,1,8.8,2871,23,0.523,3,96,4.45,0,0,0,0,2015
37,Braden Holtby\holtbbr01,25,WSH,73,72,41,20,10,157,2044,1887,0.923,2.22,9,14.4,4247,43,0.597,7,90,17.46,0,2,2,2,2015
38,Jimmy Howard\howarja02,30,DET,53,50,23,13,11,121,1350,1229,0.91,2.44,2,7.4,2971,26,0.52,8,105,-5.77,0,1,1,2,2015
39,Michael Hutchinson\hutchmi01,24,WPG,38,36,21,10,5,85,986,901,0.914,2.38,2,5.8,2138,19,0.528,7,101,-0.84,0,0,0,0,2015
40,Carter Hutton\huttoca01,29,NSH,18,17,6,7,4,44,450,406,0.902,2.61,1,2,1010,6,0.353,3,115,-5.59,0,0,0,0,2015
41,Chad Johnson\johnsch02,28,NYI,19,17,8,8,1,54,488,434,0.889,3.08,0,1.4,1053,7,0.412,6,130,-12.35,0,0,0,0,2015
42,Martin Jones\jonesma02,25,LAK,15,11,4,5,2,29,307,278,0.906,2.24,3,1.5,775,5,0.455,2,,,0,1,1,0,2015
43,Anton Khudobin\khudoan01,28,CAR,34,32,8,17,6,87,874,787,0.9,2.72,1,3.8,1920,16,0.5,9,117,-12.4,0,0,0,0,2015
44,Keith Kinkaid\kinkake01,25,NJD,19,13,6,5,4,40,469,429,0.915,2.59,0,2.8,925,8,0.615,0,100,0.03,0,0,0,0,2015
45,Darcy Kuemper\kuempda01,24,MIN,31,28,14,12,2,68,718,650,0.905,2.6,3,3.5,1569,15,0.536,7,111,-6.72,0,0,0,0,2015
46,Jason LaBarbera\labarja01,35,ANA,5,2,2,0,1,9,99,90,0.909,2.6,0,0.5,207,2,1,0,,,0,0,0,0,2015
47,Eddie Lack\lacked01,27,VAN,41,35,18,13,4,95,1201,1106,0.921,2.45,2,8.1,2324,18,0.514,5,93,7.51,0,0,0,2,2015
48,Robin Lehner\lehnero01,23,OTT,25,24,9,12,3,74,779,705,0.905,3.02,0,3.8,1471,11,0.458,2,111,-7.51,0,1,1,0,2015
49,Kari Lehtonen\lehtoka01,31,DAL,65,65,34,17,10,181,1875,1694,0.903,2.94,5,8.7,3698,30,0.462,12,113,-20.96,0,3,3,2,2015
50,Anders Lindback\lindban01,26,TOT,26,22,6,16,2,73,798,725,0.909,3.11,0,4.2,1408,8,0.364,3,107,-4.89,0,1,1,4,2015
50,Anders Lindback\lindban01,26,BUF,16,15,4,8,2,41,542,501,0.924,2.76,0,3.9,891,8,0.533,1,89,5.26,0,0,0,4,2015
50,Anders Lindback\lindban01,26,DAL,10,7,2,8,0,32,256,224,0.875,3.71,0,0.3,517,0,0,2,,,0,1,1,0,2015
51,Henrik Lundqvist\lundqhe01,32,NYR,46,46,30,13,3,103,1329,1226,0.922,2.25,5,9.2,2743,29,0.63,4,91,10.43,0,1,1,0,2015
52,Roberto Luongo\luongro01,35,FLA,61,61,28,19,12,138,1743,1605,0.921,2.35,2,11.8,3528,36,0.59,9,93,10.77,0,0,0,0,2015
53,Andrey Makarov\makaran01,21,BUF,1,1,0,1,0,3,36,33,0.917,3,0,0.2,60,1,1,0,,,0,0,0,0,2015
54,Jacob Markstrom\marksja02,25,VAN,3,2,1,1,0,4,33,29,0.879,3.09,0,0.1,78,1,0.5,1,,,0,0,0,0,2015
55,Steve Mason\masonst01,26,PHI,51,48,18,18,11,108,1490,1382,0.928,2.25,3,11.3,2885,29,0.604,4,85,19.18,0,3,3,2,2015
56,Marek Mazanec\mazanma01,23,NSH,2,1,0,1,0,4,47,43,0.915,2.27,0,0.3,106,1,1,0,,,0,0,0,0,2015
57,Thomas McCollum\mccolth01,25,DET,2,0,1,0,0,1,25,24,0.96,0.91,0,0.3,66,0,,0,,,0,0,0,0,2015
58,Curtis McElhinney\mcelhcu01,31,CBJ,32,28,12,14,2,82,949,867,0.914,2.88,0,5.6,1710,12,0.429,2,101,-1,0,0,0,0,2015
59,Mike McKenna\mckenmi01,31,ARI,1,1,0,1,0,5,34,29,0.853,5,0,0,60,0,0,0,,,0,0,0,0,2015
60,Ryan Miller\millery01,34,VAN,45,45,29,15,1,107,1198,1091,0.911,2.53,6,6.6,2542,22,0.489,8,105,-4.75,0,0,0,0,2015
61,Al Montoya\montoal01,29,FLA,20,13,6,7,2,49,453,404,0.892,3.01,0,1.5,977,6,0.462,3,127,-10.33,0,0,0,2,2015
62,Petr Mrazek\mrazepe01,22,DET,29,26,16,9,2,63,768,705,0.918,2.38,3,4.9,1585,15,0.577,6,96,2.55,0,0,0,0,2015
63,Evgeni Nabokov\nabokev01,39,TBL,11,9,3,6,2,29,245,216,0.882,3.14,0,0.5,553,5,0.556,2,,,0,1,1,2,2015
64,Michal Neuvirth\neuvimi01,26,TOT,32,32,7,20,4,92,1067,975,0.914,2.98,0,6.3,1850,16,0.5,4,101,-0.93,0,0,0,0,2015
64,Michal Neuvirth\neuvimi01,26,BUF,27,27,6,17,3,77,941,864,0.918,2.99,0,6.1,1544,15,0.556,3,96,3.32,0,0,0,0,2015
64,Michal Neuvirth\neuvimi01,26,NYI,5,5,1,3,1,15,126,111,0.881,2.94,0,0.2,306,1,0.2,1,,,0,0,0,0,2015
65,Antti Niemi\niemian02,31,SJS,61,61,31,23,7,155,1811,1656,0.914,2.59,5,10.8,3588,32,0.525,9,100,-0.43,0,3,3,0,2015
66,Joni Ortio\ortiojo01,23,CGY,6,6,4,2,0,14,153,139,0.908,2.52,1,0.8,333,3,0.5,2,,,0,0,0,0,2015
67,Ondrej Pavelec\pavelon01,27,WPG,50,46,22,16,8,108,1353,1245,0.92,2.28,5,9,2838,23,0.5,5,94,7.48,0,0,0,2,2015
68,Justin Peters\peterju01,28,WSH,12,9,3,6,1,35,294,259,0.881,3.25,0,0.6,647,1,0.111,3,,,0,0,0,0,2015
69,Calvin Pickard\pickaca01,22,COL,16,13,6,7,3,35,511,476,0.932,2.35,0,4.1,895,9,0.692,1,80,8.62,0,0,0,0,2015
70,Kevin Poulin\poulike01,24,NYI,1,1,0,0,1,3,26,23,0.885,2.77,0,0.1,65,0,0,0,,,0,0,0,0,2015
71,Carey Price\priceca01,27,MTL,66,66,44,16,6,130,1953,1823,0.933,1.96,9,16.2,3977,39,0.591,6,78,36.7,0,1,1,4,2015
72,Jonathan Quick\quickjo01,29,LAK,72,71,36,22,13,156,1896,1740,0.918,2.24,6,12.1,4184,36,0.507,9,96,5.83,0,1,1,18,2015
73,Antti Raanta\raantan01,25,CHI,14,12,7,4,1,25,389,364,0.936,1.89,2,3.3,792,8,0.667,1,75,8.2,0,0,0,0,2015
74,Karri Ramo\ramoka01,28,CGY,34,32,15,9,3,75,852,777,0.912,2.6,2,4.8,1731,14,0.438,5,103,-2.28,0,0,0,0,2015
75,Tuukka Rask\rasktu01,27,BOS,70,67,34,21,13,156,2011,1855,0.922,2.3,3,14,4063,42,0.627,8,91,15.65,0,0,0,8,2015
76,James Reimer\reimeja01,26,TOR,35,27,9,16,1,93,1001,908,0.907,3.16,0,5.1,1767,13,0.481,7,109,-7.56,0,0,0,2,2015
77,Pekka Rinne\rinnepe01,32,NSH,64,64,41,17,6,140,1807,1667,0.923,2.18,4,12.6,3851,43,0.672,7,91,14.23,0,1,1,8,2015
78,Jussi Rynnas\rynnaju01,27,DAL,2,1,0,1,0,7,44,37,0.841,4.54,0,-0.1,92,0,0,1,,,0,0,0,0,2015
79,Cory Schneider\schneco01,28,NJD,69,68,26,31,9,148,1982,1834,0.925,2.26,5,14.5,3924,41,0.603,7,87,21.17,0,2,2,0,2015
80,Ben Scrivens\scrivbe01,28,EDM,57,53,15,26,11,170,1542,1372,0.89,3.16,1,4.6,3228,19,0.358,13,129,-38.39,0,1,1,4,2015
81,Mackenzie Skapski\skapsma01,20,NYR,2,2,2,0,0,1,45,44,0.978,0.5,1,0.6,119,2,1,0,,,0,0,0,0,2015
82,Mike Smith\smithmi01,32,ARI,62,61,14,42,5,187,1955,1768,0.904,3.16,0,9.3,3556,29,0.475,12,112,-20.13,0,1,1,10,2015
83,Alex Stalock\staloal01,27,SJS,22,19,8,9,2,54,553,499,0.902,2.62,2,2.5,1237,10,0.526,1,114,-6.8,0,0,0,2,2015
84,Malcolm Subban\subbama01,21,BOS,1,1,0,1,0,3,6,3,0.5,5.76,0,-0.3,31,0,0,1,,,0,0,0,0,2015
85,Niklas Svedberg\svedbni01,25,BOS,18,14,7,5,1,35,425,390,0.918,2.33,2,2.7,900,9,0.643,2,96,1.28,0,0,0,0,2015
86,Cam Talbot\talboca01,27,NYR,36,34,21,9,4,77,1038,961,0.926,2.21,5,7.6,2095,17,0.5,2,87,11.6,0,0,0,0,2015
87,Dustin Tokarski\tokardu01,25,MTL,17,16,6,6,4,46,509,463,0.91,2.75,0,2.7,1005,8,0.5,1,106,-2.56,0,1,1,0,2015
88,Semyon Varlamov\varlasi01,26,COL,57,57,28,20,8,141,1791,1650,0.921,2.56,5,12.2,3307,33,0.579,6,92,11.87,0,0,0,4,2015
89,Andrei Vasilevskiy\vasilan02,20,TBL,16,13,7,5,1,34,415,381,0.918,2.36,1,2.7,864,7,0.538,1,96,1.42,0,0,0,0,2015
90,Cam Ward\wardca01,30,CAR,51,50,22,24,5,121,1351,1230,0.91,2.4,1,7.4,3026,26,0.52,7,105,-5.69,0,0,0,4,2015
91,Jeff Zatkoff\zatkoje01,27,PIT,1,0,0,1,0,1,17,16,0.941,1.63,0,0.2,37,0,,0,,,0,0,0,0,2015
92,Rob Zepp\zeppro01,33,PHI,10,9,5,2,0,25,223,198,0.888,2.89,0,0.6,519,1,0.111,2,,,0,0,0,0,2015
1,Jake Allen\allenja01,25,STL,47,44,26,15,3,101,1260,1159,0.92,2.35,6,8.2,2583,26,0.591,6,94,6.28,0,0,0,0,2016
2,Frederik Andersen\anderfr01,26,ANA,43,37,22,9,7,88,1086,998,0.919,2.3,3,7,2298,24,0.649,5,95,4.46,0,1,1,2,2016
3,Craig Anderson\andercr01,34,OTT,60,60,31,23,5,161,1915,1754,0.916,2.78,4,11.6,3477,31,0.517,8,99,2.05,0,2,2,0,2016
4,Richard Bachman\bachmri01,28,VAN,1,1,1,0,0,3,31,28,0.903,3.01,0,0.1,60,0,0,0,,,0,0,0,0,2016
5,Niklas Backstrom\backsni01,37,CGY,4,3,2,2,0,13,109,96,0.881,3.35,0,0.2,233,2,0.667,1,,,0,0,0,0,2016
6,Jonathan Bernier\bernijo01,27,TOR,38,36,12,21,3,103,1114,1011,0.908,2.88,3,5.6,2147,19,0.528,8,109,-8.15,0,0,0,2,2016
7,Reto Berra\berrare01,29,COL,14,12,5,8,0,29,374,345,0.922,2.41,2,2.5,721,7,0.583,2,91,2.84,0,1,1,2,2016
8,Jean-Francois Berube\berubje02,24,NYI,7,6,3,2,1,18,210,192,0.914,2.71,0,1.2,399,4,0.667,1,,,0,0,0,0,2016
9,Jordan Binnington\binnijo01,22,STL,1,0,0,0,0,1,4,3,0.75,4.69,0,-0.1,13,0,,0,,,0,0,0,0,2016
10,Ben Bishop\bishobe01,29,TBL,61,60,35,21,4,123,1672,1549,0.926,2.06,6,12.2,3585,37,0.617,4,86,19.36,0,1,1,4,2016
11,Sergei Bobrovsky\bobrose01,27,CBJ,37,37,15,19,1,97,1049,952,0.908,2.75,1,5.3,2116,18,0.486,8,109,-7.69,0,2,2,2,2016
12,Laurent Brossoit\brossla01,22,EDM,5,5,0,4,1,18,142,124,0.873,3.61,0,0.1,300,1,0.2,2,,,0,0,0,0,2016
13,Peter Budaj\budajpe01,33,LAK,1,1,1,0,0,4,28,24,0.857,3.85,0,0,62,0,0,0,,,0,0,0,0,2016
14,Mike Condon\condomi01,25,MTL,55,51,21,25,6,141,1458,1317,0.903,2.71,1,6.6,3123,24,0.471,9,114,-16.86,0,0,0,0,2016
15,Pheonix Copley\copleph01,24,STL,1,0,0,0,0,1,6,5,0.833,2.46,0,0,24,0,,0,,,0,0,0,0,2016
16,Corey Crawford\crawfco01,31,CHI,58,58,35,18,5,131,1718,1587,0.924,2.37,7,12,3323,40,0.69,9,90,15.27,0,1,1,2,2016
17,Yann Danis\danisya01,34,NJD,2,0,0,1,0,4,18,14,0.778,4.75,0,-0.2,51,0,,0,,,0,0,0,0,2016
18,Scott Darling\darlisc01,27,CHI,29,24,12,8,4,67,784,717,0.915,2.58,1,4.6,1560,13,0.542,5,100,-0.25,0,0,0,0,2016
19,Louis Domingue\dominlo01,23,ARI,39,36,15,18,5,101,1142,1041,0.912,2.75,2,6.3,2206,20,0.556,5,104,-3.77,0,1,1,0,2016
20,Chris Driedger\driedch01,21,OTT,1,0,0,0,0,0,11,11,1,0,0,0.2,32,0,,0,,,0,0,0,0,2016
21,Devan Dubnyk\dubnyde01,29,MIN,67,66,32,26,6,150,1829,1679,0.918,2.33,5,11.5,3861,34,0.515,5,96,5.73,0,0,0,8,2016
22,Brian Elliott\elliobr01,30,STL,42,38,23,8,6,78,1113,1035,0.93,2.07,4,8.6,2261,26,0.684,6,82,16.76,0,0,0,2,2016
23,Jhonas Enroth\enrotjh01,27,LAK,16,13,7,5,1,31,398,367,0.922,2.17,2,2.7,856,8,0.615,1,91,2.89,0,0,0,0,2016
24,Marc-Andre Fleury\fleurma01,31,PIT,58,58,35,17,6,132,1665,1533,0.921,2.29,5,11,3463,33,0.569,5,93,9.76,0,1,1,2,2016
25,Anton Forsberg\forsban01,23,CBJ,4,3,1,3,0,9,97,88,0.907,3.03,0,0.5,178,1,0.333,0,,,0,0,0,0,2016
26,Christopher Gibson\gibsoch01,23,NYI,4,2,1,1,1,11,93,82,0.882,3.4,0,0.2,194,0,0,1,,,0,0,0,0,2016
27,John Gibson\gibsojo02,22,ANA,40,38,21,13,4,79,992,913,0.92,2.07,4,6.5,2295,21,0.553,3,94,5.46,0,1,1,2,2016
28,Thomas Greiss\greisth01,30,NYI,41,38,23,11,4,90,1197,1107,0.925,2.36,1,8.5,2287,22,0.579,2,88,11.92,0,1,1,2,2016
29,Philipp Grubauer\grubaph01,24,WSH,22,16,8,9,1,43,523,480,0.918,2.32,0,3.3,1111,7,0.438,2,97,1.53,0,0,0,2,2016
30,Kristers Gudlevskis\gudlekr01,23,TBL,1,1,0,0,1,1,32,31,0.969,1,0,0.4,60,1,1,0,,,0,0,0,0,2016
31,Jonas Gustavsson\gustajo01,31,BOS,24,20,11,9,1,57,622,565,0.908,2.72,1,3.2,1258,9,0.45,2,108,-4.04,0,0,0,0,2016
32,Jaroslav Halak\halakja01,30,NYI,36,36,18,13,4,80,984,904,0.919,2.3,3,6.3,2091,21,0.583,6,95,3.78,0,1,1,0,2016
33,Andrew Hammond\hammoan01,27,OTT,24,21,7,11,4,61,712,651,0.914,2.65,1,4.2,1382,13,0.619,1,101,-0.38,0,0,0,2,2016
34,Magnus Hellberg\hellbma01,24,NYR,1,0,0,0,0,2,6,4,0.667,6,0,-0.1,20,0,,0,,,0,0,0,0,2016
35,Connor Hellebuyck\helleco01,22,WPG,26,26,13,11,1,56,683,627,0.918,2.34,2,4.3,1433,14,0.538,6,96,2.15,0,0,0,0,2016
36,Jonas Hiller\hillejo01,33,CGY,26,23,9,11,1,79,654,575,0.879,3.51,1,1.1,1351,7,0.304,8,142,-23.32,0,0,0,0,2016
37,Braden Holtby\holtbbr01,26,WSH,66,66,48,9,7,141,1802,1661,0.922,2.2,3,12.1,3841,42,0.636,6,92,12.43,0,1,1,6,2016
38,Jimmy Howard\howarja02,31,DET,37,33,14,14,5,92,979,887,0.906,2.8,2,4.8,1974,16,0.485,6,110,-8.65,0,1,1,2,2016
39,Michael Hutchinson\hutchmi01,25,WPG,30,25,9,15,3,75,805,730,0.907,2.84,0,4,1586,9,0.36,3,109,-6.46,0,0,0,0,2016
40,Carter Hutton\huttoca01,30,NSH,17,15,7,5,4,38,464,426,0.918,2.33,2,2.9,979,7,0.467,1,96,1.51,0,1,1,0,2016
41,Chad Johnson\johnsch02,29,BUF,45,40,22,16,4,102,1270,1168,0.92,2.36,1,8.2,2591,23,0.575,3,94,6.13,0,2,2,0,2016
42,Martin Jones\jonesma02,26,SJS,65,65,37,23,4,143,1734,1591,0.918,2.27,6,10.8,3786,36,0.554,9,97,4.64,0,0,0,0,2016
43,Jason Kasdorf\kasdoja01,23,BUF,1,1,0,1,0,4,30,26,0.867,4,0,0,60,0,0,0,,,0,0,0,0,2016
44,Anton Khudobin\khudoan01,29,ANA,9,7,3,3,0,16,175,159,0.909,2.69,1,0.9,356,3,0.429,3,,,0,0,0,0,2016
45,Keith Kinkaid\kinkake01,26,NJD,23,20,9,9,1,58,605,547,0.904,2.81,2,2.8,1240,10,0.5,5,113,-6.49,0,0,0,2,2016
46,Joonas Korpisalo\korpijo01,21,CBJ,31,30,16,11,4,78,969,891,0.92,2.6,0,6.3,1803,16,0.533,1,95,4.5,0,0,0,2,2016
47,Darcy Kuemper\kuempda01,25,MIN,21,16,6,7,5,43,507,464,0.915,2.43,2,3,1063,8,0.5,2,100,0.17,0,0,0,2,2016
48,Eddie Lack\lacked01,28,CAR,34,31,12,14,6,90,910,820,0.901,2.81,2,3.9,1920,14,0.452,7,116,-12.52,0,2,2,0,2016
49,Robin Lehner\lehnero01,24,BUF,21,21,5,9,5,48,634,586,0.924,2.47,1,4.5,1164,13,0.619,3,89,5.98,0,1,1,8,2016
50,Kari Lehtonen\lehtoka01,32,DAL,43,39,25,10,2,105,1121,1016,0.906,2.76,2,5.5,2279,20,0.513,5,110,-9.56,0,3,3,2,2016
51,Michael Leighton\leighmi01,34,CHI,1,0,0,0,0,1,17,16,0.941,1.52,0,0.2,39,0,,0,,,0,0,0,0,2016
52,Anders Lindback\lindban01,27,ARI,19,13,5,7,1,47,443,396,0.894,3.11,0,1.5,906,5,0.385,4,125,-9.28,0,1,1,0,2016
53,Charlie Lindgren\lindgch01,22,MTL,1,1,1,0,0,2,28,26,0.929,2,0,0.2,60,1,1,0,,,0,0,0,0,2016
54,Henrik Lundqvist\lundqhe01,33,NYR,65,64,35,21,7,156,1944,1788,0.92,2.48,4,12.6,3772,39,0.609,6,94,9.52,0,4,4,4,2016
55,Roberto Luongo\luongro01,36,FLA,62,60,35,19,6,141,1801,1660,0.922,2.35,4,12.1,3602,34,0.567,8,92,12.34,0,2,2,4,2016
56,Jacob Markstrom\marksja02,26,VAN,33,30,13,14,4,84,988,904,0.915,2.73,0,5.9,1847,17,0.567,4,100,0.12,0,2,2,4,2016
57,Steve Mason\masonst01,27,PHI,54,53,23,19,10,132,1602,1470,0.918,2.51,4,10,3150,28,0.528,5,97,4.4,0,0,0,2,2016
58,Curtis McElhinney\mcelhcu01,32,CBJ,18,12,2,7,3,46,417,371,0.89,3.3,0,1.2,835,3,0.25,3,130,-10.5,0,1,1,0,2016
59,Ryan Miller\millery01,35,VAN,51,51,17,24,9,137,1634,1497,0.916,2.7,1,9.9,3043,25,0.49,2,98,2.12,0,1,1,2,2016
60,Al Montoya\montoal01,30,FLA,25,22,12,7,3,49,608,559,0.919,2.18,0,3.9,1351,14,0.636,3,95,2.77,0,0,0,2,2016
61,Petr Mrazek\mrazepe01,23,DET,54,49,27,16,6,115,1448,1333,0.921,2.33,4,9.5,2961,31,0.633,5,93,8.29,0,2,2,2,2016
62,Matt Murray\murrama02,21,PIT,13,13,9,2,1,25,355,330,0.93,2,1,2.7,749,10,0.769,0,83,5.23,0,0,0,0,2016
63,Michal Neuvirth\neuvimi01,27,PHI,32,29,18,8,4,69,908,839,0.924,2.27,3,6.4,1825,17,0.586,3,89,8.31,0,1,1,2,2016
64,Antti Niemi\niemian02,32,DAL,48,43,25,13,7,118,1246,1128,0.905,2.67,3,5.9,2654,19,0.442,8,111,-11.91,0,2,2,2,2016
65,Anders Nilsson\nilssan01,25,TOT,29,24,10,13,2,78,789,711,0.901,3.12,0,3.4,1500,11,0.458,5,116,-10.82,0,1,1,4,2016
65,Anders Nilsson\nilssan01,25,EDM,26,24,10,12,2,74,745,671,0.901,3.14,0,3.1,1413,11,0.458,5,117,-10.57,0,1,1,4,2016
