Rk,Player,Age,Tm,GP,GS,W,L,T/O,GA,SA,SV,SV%,GAA,SO,GPS,MIN,QS,QS%,RBS,GA%-,GSAA,G,A,PTS,PIM
1,Jake Allen\allenja01,29,STL,20,17,8,6,3,43,549,506,0.922,2.36,1,3.8,1095,11,0.647,2,86,6.78,0,0,0,0
2,Frederik Andersen\anderfr01,30,TOR,44,44,24,11,6,123,1336,1213,0.908,2.93,1,7.3,2522,23,0.523,7,102,-1.86,0,0,0,0
3,Craig Anderson\andercr01,38,OTT,27,23,8,13,2,76,775,699,0.902,3.19,0,3.8,1429,10,0.435,5,108,-5.73,0,1,1,0
4,Jonathan Bernier\bernijo01,31,DET,36,32,12,17,2,96,1050,954,0.909,2.88,1,5.8,1997,13,0.406,5,101,-0.79,0,3,3,2
5,Antoine Bibeau\bibeaan01,25,COL,2,1,1,0,0,5,42,37,0.881,3.27,0,0.1,92,0,0,0,,,0,0,0,0
6,Jordan Binnington\binnijo01,26,STL,42,42,24,11,7,112,1228,1116,0.909,2.72,1,6.9,2468,23,0.548,4,101,-0.66,0,1,1,4
7,Ben Bishop\bishobe01,33,DAL,39,38,20,12,4,88,1154,1066,0.924,2.38,2,8.3,2216,25,0.658,4,84,16.64,0,2,2,2
8,MacKenzie Blackwood\blackma01,23,NJD,41,37,19,12,7,108,1243,1135,0.913,2.79,3,7.5,2323,19,0.514,6,96,4.7,0,1,1,0
9,Sergei Bobrovsky\bobrose01,31,FLA,45,43,21,17,5,138,1334,1196,0.897,3.31,1,5.7,2503,17,0.395,10,114,-17.04,0,0,0,0
10,Laurent Brossoit\brossla01,26,WPG,17,13,5,7,0,50,445,395,0.888,3.48,0,1.5,863,5,0.385,1,124,-9.65,0,0,0,0
11,Jack Campbell\campbja01,28,TOT,24,24,11,10,3,67,696,629,0.904,2.77,0,3.5,1452,10,0.417,4,106,-3.89,0,0,0,0
11,Jack Campbell\campbja01,28,LAK,20,20,8,10,2,57,572,515,0.9,2.85,0,2.7,1202,7,0.35,4,110,-5.14,0,0,0,0
11,Jack Campbell\campbja01,28,TOR,4,4,3,0,1,10,124,114,0.919,2.4,0,0.8,250,3,0.75,0,,,0,0,0,0
12,Eric Comrie\comrier01,24,DET,3,2,0,2,0,9,66,57,0.864,4.28,0,0.1,126,0,0,1,,,0,0,0,0
13,Corey Crawford\crawfco01,35,CHI,30,29,10,16,3,84,953,869,0.912,2.89,1,5.6,1743,17,0.586,2,97,2.41,0,0,0,0
14,Oscar Dansk\danskos01,25,VEG,1,1,0,1,0,6,37,31,0.838,6,0,-0.1,60,0,0,1,,,0,0,0,0
15,Aaron Dell\dellaa01,30,SJS,29,26,12,12,2,77,843,766,0.909,2.89,0,4.7,1597,14,0.538,5,101,-0.56,0,0,0,0
16,Thatcher Demko\demkoth01,24,VAN,19,18,10,6,2,56,587,531,0.905,3.04,0,3,1106,12,0.667,4,105,-2.78,0,0,0,0
17,Michael Dipietro\dipiemi01,20,VAN,1,0,0,0,0,1,7,6,0.857,7.16,0,0,8,0,,0,,,0,0,0,0
18,Louis Domingue\dominlo01,27,NJD,15,13,3,7,2,44,360,316,0.878,3.86,0,0.8,684,3,0.231,5,135,-11.36,0,0,0,0
19,Chris Driedger\driedch01,25,FLA,9,8,5,2,0,18,265,247,0.932,2.35,1,2.1,459,5,0.625,0,75,6.03,0,0,0,0
20,Devan Dubnyk\dubnyde01,33,MIN,27,25,10,14,2,82,763,681,0.893,3.33,1,2.9,1476,8,0.32,3,119,-12.82,0,0,0,2
21,Brian Elliott\elliobr01,34,PHI,29,25,14,7,4,75,738,663,0.898,2.9,2,3.3,1550,13,0.52,8,112,-8.08,0,1,1,2
22,Marc-Andre Fleury\fleurma01,35,VEG,43,42,23,14,5,117,1243,1126,0.906,2.78,4,6.5,2521,21,0.5,7,104,-4.3,0,0,0,6
23,Pavel Francouz\francpa01,29,COL,23,19,13,5,3,52,663,611,0.922,2.51,0,4.6,1244,9,0.474,4,87,8.12,0,0,0,2
24,Alexandar Georgiev\georgal01,23,NYR,28,26,14,12,1,76,861,785,0.912,2.98,2,5.1,1530,15,0.577,5,97,2.07,0,0,0,0
25,John Gibson\gibsojo02,26,ANA,43,43,17,22,4,126,1318,1192,0.904,2.99,1,6.7,2529,18,0.419,8,105,-6.49,0,0,0,0
26,Thomas Greiss\greisth01,34,NYI,28,25,16,8,2,64,766,702,0.916,2.65,0,4.9,1451,15,0.6,4,92,5.45,0,0,0,2
27,Philipp Grubauer\grubaph01,28,COL,36,36,18,12,4,90,1067,977,0.916,2.63,2,6.7,2057,17,0.472,4,93,6.75,0,0,0,0
28,Jaroslav Halak\halakja01,34,BOS,27,26,15,6,6,63,809,746,0.922,2.31,3,5.7,1636,16,0.615,3,86,10.35,0,2,2,0
29,Carter Hart\hartca01,21,PHI,35,32,17,12,3,81,863,782,0.906,2.59,1,4.6,1879,18,0.563,9,104,-2.75,0,0,0,0
30,Connor Hellebuyck\helleco01,26,WPG,49,47,25,18,5,123,1520,1397,0.919,2.7,4,10.1,2734,29,0.617,6,89,14.82,0,2,2,0
31,Adin Hill\hillad01,23,ARI,12,8,2,3,3,25,310,285,0.919,2.57,0,2.1,583,5,0.625,0,89,3.11,0,0,0,2
32,Marcus Hogberg\hogbema01,25,OTT,19,16,3,6,7,51,572,521,0.911,2.96,0,3.3,1035,8,0.5,2,98,0.86,0,0,0,0
33,Braden Holtby\holtbbr01,30,WSH,41,40,21,13,4,120,1162,1042,0.897,3.11,0,5,2314,18,0.45,10,114,-14.64,0,1,1,4
34,Jimmy Howard\howarja02,35,DET,26,26,2,22,2,91,800,709,0.886,4.08,0,2.5,1339,7,0.269,8,125,-18.46,0,0,0,0
35,Michael Hutchinson\hutchmi01,29,TOR,15,11,4,9,1,48,421,373,0.886,3.66,1,1.3,787,3,0.273,0,126,-9.83,0,0,0,0
36,Carter Hutton\huttoca01,34,BUF,25,24,11,9,4,74,716,642,0.897,3.12,2,3.1,1425,11,0.458,6,114,-9.08,0,1,1,6
37,Tristan Jarry\jarrytr01,24,PIT,28,26,19,8,1,58,833,775,0.93,2.14,3,6.6,1628,18,0.692,0,77,17.53,0,0,0,0
38,Jonas Johansson\johanjo03,24,BUF,3,2,0,1,1,7,63,56,0.889,2.78,0,0.2,151,0,0,0,,,0,0,0,0
39,Martin Jones\jonesma02,30,SJS,34,32,14,17,2,102,958,856,0.894,3.15,1,3.8,1945,11,0.344,10,117,-15.14,0,1,1,0
40,Kaapo Kahkonen\kahkoka01,23,MIN,5,5,3,1,1,15,172,157,0.913,2.96,0,1,304,3,0.6,2,,,0,0,0,0
41,Kasimir Kaskisuo\kaskika01,26,TOR,1,1,0,1,0,6,38,32,0.842,6,0,-0.1,60,0,0,1,,,0,0,0,0
42,Anton Khudobin\khudoan01,33,DAL,24,21,14,7,2,52,711,659,0.927,2.33,0,5.3,1341,15,0.714,2,81,12.47,0,3,3,4
43,Keith Kinkaid\kinkake01,30,MTL,6,5,1,1,3,24,192,168,0.875,4.24,0,0.4,340,0,0,0,,,0,0,0,0
44,Matiss Kivlenieks\kivlema01,23,CBJ,3,3,1,0,2,7,83,76,0.916,2.3,0,0.5,183,2,0.667,0,,,0,0,0,0
45,Joonas Korpisalo\korpijo01,25,CBJ,32,31,17,10,4,78,901,823,0.913,2.49,2,5.5,1876,19,0.613,4,95,3.7,0,1,1,0
46,Mikko Koskinen\koskimi01,31,EDM,32,28,16,11,2,85,957,872,0.911,2.85,1,5.6,1789,14,0.5,5,98,1.77,0,0,0,0
47,Darcy Kuemper\kuempda01,29,ARI,25,25,15,8,2,55,772,717,0.929,2.17,2,6,1518,19,0.76,2,79,15,0,0,0,6
48,Robin Lehner\lehnero01,28,CHI,32,30,16,9,5,88,1111,1023,0.921,2.91,0,7.6,1816,17,0.567,4,87,12.74,0,0,0,2
49,Charlie Lindgren\lindgch01,26,MTL,4,4,1,3,0,14,117,103,0.88,3.48,0,0.3,241,1,0.25,1,,,0,0,0,0
50,Henrik Lundqvist\lundqhe01,37,NYR,28,25,10,11,3,79,852,773,0.907,3.12,1,4.6,1522,13,0.52,3,102,-1.75,0,0,0,2
51,Alex Lyon\lyonal01,27,PHI,3,2,1,1,0,8,73,65,0.89,3.55,0,0.3,135,0,0,0,,,0,0,0,0
52,Jacob Markstrom\marksja02,30,VAN,41,41,22,16,3,111,1355,1244,0.918,2.74,2,8.9,2429,24,0.585,5,90,11.86,0,1,1,4
53,Curtis McElhinney\mcelhcu01,36,TBL,16,16,8,6,2,44,497,453,0.911,2.76,1,2.9,957,8,0.5,1,98,1.06,0,0,0,0
54,Elvis Merzlikins\merzlel01,25,CBJ,28,26,12,8,6,57,793,736,0.928,2.2,5,6.1,1551,14,0.538,2,79,14.9,0,0,0,0
55,Ryan Miller\millery01,39,ANA,18,16,7,6,3,52,557,505,0.907,3.06,0,3,1020,9,0.563,1,103,-1.5,0,1,1,0
56,Sam Montembeault\montesa01,23,FLA,12,7,5,3,1,32,290,258,0.89,3.3,0,1,582,3,0.429,2,122,-5.71,0,0,0,0
57,Petr Mrazek\mrazepe01,27,CAR,36,35,19,15,2,96,987,891,0.903,2.72,3,4.9,2117,17,0.486,7,107,-6.51,0,0,0,4
58,Matt Murray\murrama02,25,PIT,31,31,17,7,5,84,876,792,0.904,2.76,1,4.5,1825,15,0.484,6,106,-4.57,0,1,1,2
59,Anders Nilsson\nilssan01,29,OTT,20,19,9,9,2,58,628,570,0.908,3.18,0,3.4,1093,11,0.579,5,102,-1.06,0,0,0,0
60,Calvin Petersen\peterca01,25,LAK,2,2,1,1,0,6,72,66,0.917,3.01,0,0.5,120,2,1,0,,,0,0,0,0
61,Calvin Pickard\pickaca01,27,DET,3,1,0,2,0,15,74,59,0.797,5.46,0,-0.5,165,0,0,1,,,0,0,0,0
62,Carey Price\priceca01,32,MTL,50,50,24,21,5,135,1519,1384,0.911,2.74,3,8.9,2961,30,0.6,9,98,2.73,0,0,0,4
63,Cayden Primeau\primeca01,20,MTL,2,2,1,1,0,5,72,67,0.931,2.52,0,0.6,119,2,1,0,,,0,0,0,0
64,Jonathan Quick\quickjo01,34,LAK,37,37,12,22,3,110,1073,963,0.897,2.99,0,4.7,2204,17,0.459,5,113,-12.71,0,1,1,0
65,Antti Raanta\raantan01,30,ARI,30,29,13,13,3,74,911,837,0.919,2.7,2,6.1,1645,17,0.586,3,90,8.6,0,0,0,2
66,Tuukka Rask\rasktu01,32,BOS,34,34,22,5,6,69,997,928,0.931,2.08,3,7.9,1995,24,0.706,1,76,21.4,0,2,2,0
67,James Reimer\reimeja01,31,CAR,24,23,14,6,2,61,711,650,0.914,2.67,3,4.4,1372,14,0.609,6,95,3.47,0,0,0,2
68,Pekka Rinne\rinnepe01,37,NSH,34,33,18,13,3,95,935,840,0.898,3.04,3,4.2,1874,15,0.455,10,112,-10.22,1,2,3,0
69,David Rittich\rittida01,27,CGY,43,43,22,15,5,122,1319,1197,0.908,2.93,2,7.2,2494,22,0.512,7,102,-2.4,0,1,1,6
70,Ilya Samsonov\samsoil01,22,WSH,23,19,16,4,1,49,590,541,0.917,2.38,1,3.8,1236,12,0.632,1,92,4.5,0,0,0,2
71,Juuse Saros\sarosju01,24,NSH,30,25,11,9,4,79,824,745,0.904,2.92,2,4.2,1623,14,0.56,3,106,-4.29,0,0,0,0
72,Cory Schneider\schneco01,33,NJD,9,7,0,6,1,34,230,196,0.852,4.65,0,-0.1,439,0,0,3,,,0,0,0,0
73,Gilles Senn\senngi01,23,NJD,2,1,0,1,0,4,41,37,0.902,3.42,0,0.2,70,1,1,0,,,0,0,0,0
74,Igor Shesterkin\shestig01,24,NYR,7,7,6,1,0,15,253,238,0.941,2.18,0,2.3,413,5,0.714,0,65,7.94,0,0,0,0
75,Mike Smith\smithmi01,37,EDM,32,30,16,10,4,86,893,807,0.904,2.93,1,4.5,1763,14,0.467,7,106,-5.03,0,2,2,21
76,Garret Sparks\sparkga01,26,VEG,1,0,0,0,0,2,14,12,0.857,4.38,0,0,27,0,,0,,,0,0,0,0
77,Alex Stalock\staloal01,32,MIN,30,28,14,9,4,76,834,758,0.909,2.68,3,4.7,1700,15,0.536,4,101,-0.38,0,1,1,2
78,Malcolm Subban\subbama01,26,VEG,19,18,8,7,3,55,516,461,0.893,3.09,0,2,1069,7,0.389,6,118,-8.21,0,0,0,0
79,Cam Talbot\talboca01,32,CGY,22,18,9,9,1,55,663,608,0.917,2.77,1,4.3,1192,9,0.5,1,91,5.12,0,0,0,21
80,Linus Ullmark\ullmali01,26,BUF,33,33,16,14,3,89,1031,942,0.914,2.72,1,6.3,1962,18,0.545,2,95,4.48,0,0,0,4
81,Semyon Varlamov\varlasi01,31,NYI,37,32,17,11,4,87,1062,975,0.918,2.53,2,7,2060,19,0.594,4,90,9.29,0,0,0,0
82,Andrei Vasilevskiy\vasilan02,25,TBL,44,44,32,9,3,107,1346,1239,0.921,2.42,2,9.2,2648,27,0.614,4,88,15.04,0,4,4,4
83,Adam Werner\wernead01,22,COL,2,1,1,1,0,5,58,53,0.914,3.42,0,0.4,88,0,0,1,,,0,0,0,0
