Teams,AvAge,GP,W,L,OL,PTS,PTS.,GF,GA,SOW,SOL,SRS,SOS,TGpG,EVGF,EVGA,PP,PPO,PP.,PPA,PPOA,PK.,SH,SHA,PIMpG,oPIMpG,S,S.,SA,SV.,SO,EVS.,EVSV.,EVPDO,EVCF,EVCA,EVCF.,EVFF,EVFA,EVFF.,EVxGF,EVxGA,EVaGF,EVaGA,EVaxDiff,EVSCF,EVSCA,EVSCF.,EVHDF,EVHDA,EVHDF.,EVHDGF,EVHDC.,EVHDGA,EVHDCO.,Year
Boston Bruins*,27.6,82,54,19,9,117,0.713,258,171,3,6,0.92,-0.11,5.23,199,122,50,230,21.74,43,263,83.65,9,6,10.8,10.1,2612,9.9,2385,0.928,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014
Anaheim Ducks*,27.7,82,54,20,8,116,0.707,263,203,3,6,0.68,-0.01,5.68,209,147,44,275,16,48,270,82.22,10,8,10.9,12.6,2569,10.2,2353,0.914,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014
Colorado Avalanche*,26.9,82,52,22,8,112,0.683,245,216,5,4,0.4,0.04,5.62,192,167,50,252,19.84,48,249,80.72,3,1,10.9,10.5,2420,10.1,2678,0.919,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014
St. Louis Blues*,27.4,82,52,23,7,111,0.677,239,188,9,3,0.71,0.01,5.21,177,140,56,283,19.79,42,293,85.67,6,6,14.2,14.2,2402,10,2163,0.913,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014
San Jose Sharks*,28.7,82,51,22,9,111,0.677,239,193,10,7,0.6,0,5.27,181,154,50,291,17.18,33,219,84.93,8,6,9,11.2,2851,8.4,2281,0.915,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014
Pittsburgh Penguins*,28.3,82,51,24,7,109,0.665,242,204,7,3,0.47,-0.04,5.44,173,160,65,278,23.38,38,254,85.04,4,6,10.1,10.9,2454,9.9,2358,0.913,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014
Chicago Blackhawks*,27.5,82,46,21,15,107,0.652,261,212,6,8,0.6,0.02,5.77,202,160,50,257,19.46,46,248,81.45,9,6,8.5,8.7,2715,9.6,2229,0.905,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014
Tampa Bay Lightning*,27.1,82,46,27,9,101,0.616,232,209,8,6,0.25,-0.06,5.38,172,149,50,270,18.52,52,270,80.74,10,8,10.3,10.2,2446,9.5,2397,0.913,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014
Los Angeles Kings*,27.4,82,46,28,8,100,0.61,198,168,8,6,0.4,0.01,4.46,150,112,43,284,15.14,50,296,83.11,5,6,10.7,11.1,2595,7.6,2148,0.922,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014
Montreal Canadiens*,28.3,82,46,28,8,100,0.61,209,201,6,3,0.08,-0.05,5,155,150,48,279,17.2,43,289,85.12,6,8,13,12.8,2330,9,2541,0.921,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014
Minnesota Wild*,27.2,82,43,27,12,98,0.598,199,198,8,8,0.07,0.05,4.84,150,137,45,252,17.86,53,250,78.8,4,8,9.5,9.9,2180,9.1,2273,0.913,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014
New York Rangers*,27.4,82,45,31,6,96,0.585,214,190,4,3,0.26,-0.04,4.93,156,149,48,264,18.18,34,232,85.34,10,7,10,10.4,2719,7.9,2412,0.921,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014
Philadelphia Flyers*,27.7,82,42,30,10,94,0.573,233,227,3,8,-0.01,-0.02,5.61,167,168,58,294,19.73,48,316,84.81,8,11,14.2,13.4,2490,9.4,2508,0.909,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014
Columbus Blue Jackets*,26.1,82,43,32,7,93,0.567,226,214,5,2,0.16,-0.03,5.37,163,156,54,280,19.29,50,280,82.14,9,8,11.1,11,2431,9.3,2524,0.915,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014
Detroit Red Wings*,28.6,82,39,28,15,93,0.567,217,221,5,9,-0.14,-0.04,5.34,164,166,50,282,17.73,50,295,83.05,3,5,8.8,8.6,2456,8.8,2400,0.908,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014
Dallas Stars*,28.2,82,40,31,11,91,0.555,231,223,4,5,0.14,0.05,5.54,177,169,46,290,15.86,49,263,81.37,8,5,11,11.6,2597,8.9,2492,0.911,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014
Washington Capitals,26.5,82,38,30,14,90,0.549,225,229,10,11,-0.08,-0.02,5.54,152,168,68,291,23.37,51,284,82.04,5,10,11.6,12.2,2412,9.3,2750,0.917,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014
Phoenix Coyotes,28.7,82,37,30,15,89,0.543,210,224,6,7,-0.16,0.03,5.29,151,162,56,282,19.86,57,272,79.04,3,5,9.9,9.9,2498,8.4,2540,0.912,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014
Ottawa Senators,26.6,82,37,31,14,88,0.537,229,258,7,7,-0.37,-0.02,5.94,174,186,50,271,18.45,61,320,80.94,5,10,13.3,12,2691,8.5,2849,0.909,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014
Nashville Predators,26.7,82,38,32,12,88,0.537,214,233,2,9,-0.25,0.07,5.45,166,186,46,239,19.25,47,238,80.25,2,0,9.9,9.4,2382,9,2370,0.902,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014
New Jersey Devils,30.6,82,35,29,18,88,0.537,197,195,0,13,-0.15,-0.02,4.78,141,155,47,241,19.5,36,264,86.36,9,4,8,8.2,2199,9,2089,0.907,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014
Toronto Maple Leafs,26.2,82,38,36,8,84,0.512,222,252,9,4,-0.34,-0.04,5.78,165,182,50,252,19.84,58,268,78.36,7,12,12.7,11.8,2290,9.7,2945,0.914,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014
Winnipeg Jets,26.3,82,37,35,10,84,0.512,219,231,8,6,-0.07,0.06,5.49,174,176,40,259,15.44,49,291,83.16,5,6,11.9,10.6,2516,8.7,2472,0.907,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014
Carolina Hurricanes,27,82,36,35,11,83,0.506,205,226,2,4,-0.29,-0.01,5.26,153,174,41,281,14.59,44,241,81.74,11,8,7.9,9,2561,8,2537,0.911,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014
Vancouver Canucks,28.6,82,36,35,11,83,0.506,191,216,5,7,-0.3,0.03,4.96,146,166,39,257,15.18,46,274,83.21,6,4,13.6,12.1,2527,7.6,2327,0.907,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014
New York Islanders,26.2,82,34,37,11,79,0.482,216,261,9,6,-0.51,0,5.82,159,196,49,276,17.75,58,265,78.11,8,7,12.4,11.5,2537,8.5,2464,0.894,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014
Calgary Flames,26.7,82,35,40,7,77,0.47,202,238,7,3,-0.35,0.04,5.37,151,188,39,249,15.66,43,235,81.7,12,7,10.5,10.6,2199,9.2,2345,0.899,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014
Edmonton Oilers,26.5,82,29,44,9,67,0.409,199,267,4,3,-0.75,0.07,5.68,149,204,46,271,16.97,50,280,82.14,4,13,11.8,12,2208,9,2696,0.901,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014
Florida Panthers,29,82,29,45,8,66,0.402,188,262,8,6,-0.87,0.01,5.49,153,193,27,269,10.04,63,262,75.95,8,6,10.3,10.9,2451,7.7,2551,0.897,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014
Buffalo Sabres,26.6,82,21,51,10,52,0.317,150,243,7,5,-1.09,0.02,4.79,109,187,36,256,14.06,51,274,81.39,5,5,11,10.4,2156,7,2816,0.914,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014
New York Rangers*,29.4,82,53,22,7,113,0.689,248,187,4,5,0.69,-0.04,5.3,200,144,39,232,16.81,37,235,84.26,9,6,8.7,8.2,2582,9.6,2418,0.923,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015
Montreal Canadiens*,28.4,82,50,22,10,110,0.671,214,184,7,5,0.36,-0.03,4.85,167,138,40,242,16.53,42,257,83.66,7,4,10.2,9.3,2334,9.2,2470,0.926,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015
Anaheim Ducks*,27,82,51,24,7,109,0.665,228,221,8,5,0.1,-0.03,5.48,182,163,37,236,15.68,52,274,81.02,9,6,10.8,9.8,2458,9.3,2367,0.907,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015
St. Louis Blues*,28.3,82,51,24,7,109,0.665,239,197,9,4,0.59,0.02,5.32,181,150,56,251,22.31,42,257,83.66,2,5,11,10.6,2535,9.4,2233,0.912,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015
Tampa Bay Lightning*,26.9,82,50,24,8,108,0.659,259,206,3,5,0.57,-0.06,5.67,199,158,53,282,18.79,42,257,83.66,7,6,9.9,10.5,2428,10.7,2287,0.91,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015
Nashville Predators*,28.4,82,47,25,10,104,0.634,226,202,6,6,0.33,0.03,5.22,180,152,42,259,16.22,45,234,80.77,4,5,8.5,9.3,2614,8.6,2317,0.913,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015
Chicago Blackhawks*,29.3,82,48,28,6,102,0.622,220,186,9,3,0.51,0.02,4.95,171,144,46,260,17.69,35,211,83.41,3,7,7.3,8.8,2777,7.9,2477,0.925,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015
Vancouver Canucks*,29.4,82,48,29,5,101,0.616,236,220,6,2,0.2,-0.05,5.56,184,180,46,238,19.33,38,266,85.71,6,2,10.9,9.8,2453,9.6,2446,0.91,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015
Washington Capitals*,28.1,82,45,26,11,101,0.616,237,199,5,4,0.44,-0.03,5.32,173,145,60,237,25.32,50,266,81.2,4,4,10.5,10.4,2419,9.8,2368,0.916,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015
New York Islanders*,27.3,82,47,28,7,101,0.616,245,224,7,6,0.26,-0.01,5.72,185,173,50,267,18.73,48,217,77.88,10,3,8.5,9.4,2771,8.8,2321,0.903,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015
Detroit Red Wings*,28.9,82,43,25,14,100,0.61,231,211,4,10,0.14,-0.03,5.39,158,148,70,294,23.81,55,288,80.9,3,8,8.8,9.7,2429,9.5,2322,0.909,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015
Minnesota Wild*,27.7,82,46,28,8,100,0.61,227,198,4,3,0.39,0.03,5.18,184,163,39,246,15.85,32,234,86.32,4,3,8.9,9.7,2522,9,2265,0.913,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015
Ottawa Senators*,26.9,82,43,26,13,99,0.604,232,208,6,7,0.25,-0.04,5.37,179,156,47,280,16.79,44,257,82.88,6,8,10.3,11.1,2539,9.1,2635,0.921,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015
Winnipeg Jets*,27.3,82,43,26,13,99,0.604,223,204,7,6,0.29,0.04,5.21,165,143,48,269,17.84,56,308,81.82,10,5,13,11.6,2439,9.1,2350,0.913,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015
Pittsburgh Penguins*,29.5,82,43,27,12,98,0.598,217,204,4,6,0.12,-0.01,5.13,162,151,49,254,19.29,42,277,84.84,6,11,13.7,12.1,2594,8.4,2401,0.915,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015
Calgary Flames*,28.2,82,45,30,7,97,0.591,237,213,4,3,0.26,-0.05,5.49,183,174,48,255,18.82,36,186,80.65,6,3,7.6,9,2252,10.5,2391,0.911,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015
Boston Bruins,28.3,82,41,27,14,96,0.585,209,201,4,10,0.01,-0.01,5,163,154,38,213,17.84,44,244,81.97,8,3,9.5,8.5,2546,8.2,2449,0.918,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015
Los Angeles Kings,28.5,82,40,27,15,95,0.579,218,197,2,8,0.16,-0.03,5.06,164,150,47,247,19.03,45,236,80.93,7,2,9.1,9.1,2536,8.6,2214,0.911,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015
Dallas Stars,28.5,82,41,31,10,92,0.561,257,257,4,3,0.06,0.05,6.27,193,201,55,290,18.97,49,254,80.71,9,7,9.6,11,2558,10,2454,0.895,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015
Florida Panthers,29.2,82,38,29,15,91,0.555,198,213,8,10,-0.23,-0.02,5.01,157,157,40,246,16.26,50,250,80,1,6,8.9,9,2516,7.9,2424,0.912,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015
Colorado Avalanche,28.6,82,39,31,12,90,0.549,209,223,10,4,-0.04,0.06,5.27,168,184,37,247,14.98,37,241,84.65,4,2,9.4,9.6,2286,9.1,2719,0.918,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015
Columbus Blue Jackets,27,82,42,35,5,89,0.543,227,248,9,2,-0.16,0.01,5.79,169,183,53,244,21.72,60,303,80.2,5,5,11.9,11,2366,9.6,2742,0.91,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015
San Jose Sharks,28.5,82,40,33,9,89,0.543,224,226,4,6,-0.08,-0.03,5.49,165,173,55,254,21.65,48,223,78.48,4,5,9.3,10.4,2591,8.6,2436,0.907,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015
Philadelphia Flyers,28.6,82,33,31,18,84,0.512,212,223,3,11,-0.23,0,5.3,149,156,60,256,23.44,61,266,77.07,3,6,10.2,9.2,2413,8.8,2481,0.91,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015
New Jersey Devils,30.5,82,32,36,14,78,0.476,176,209,5,7,-0.4,0.02,4.7,128,149,41,212,19.34,52,268,80.6,7,8,9.3,7.7,2008,8.8,2518,0.917,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015
Carolina Hurricanes,27.9,82,30,41,11,71,0.433,183,219,5,7,-0.44,0.02,4.9,136,186,45,240,18.75,29,190,84.74,2,4,6.7,8.2,2524,7.3,2236,0.902,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015
Toronto Maple Leafs,27.7,82,30,44,8,68,0.415,206,257,5,5,-0.61,0.02,5.65,154,193,45,283,15.9,52,266,80.45,7,12,10,10.7,2397,8.6,2748,0.906,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015
Edmonton Oilers,27.2,82,24,44,14,62,0.378,193,276,5,7,-1.01,0.03,5.72,148,218,41,232,17.67,51,219,76.71,4,7,8.3,8.7,2331,8.3,2464,0.888,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015
Arizona Coyotes,28.5,82,24,50,8,56,0.341,165,267,5,5,-1.2,0.04,5.27,115,195,46,230,20,65,279,76.7,4,7,9.5,8.4,2393,6.9,2722,0.902,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015
Buffalo Sabres,26.9,82,23,51,8,54,0.329,153,269,8,5,-1.33,0.05,5.15,116,197,30,224,13.39,64,257,75.1,7,8,10.4,9.6,1984,7.7,2920,0.908,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015
Washington Capitals*,27.9,82,56,18,8,120,0.732,248,191,4,2,0.7,-0.02,5.35,191,148,55,251,21.91,38,256,85.16,2,5,9.2,8.9,2510,9.9,2332,0.918,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016
Dallas Stars*,28.9,82,50,23,9,109,0.665,265,228,2,2,0.45,-0.01,6.01,197,169,58,262,22.14,44,248,82.26,10,15,8.8,9,2624,10.1,2371,0.904,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016
St. Louis Blues*,28,82,49,24,9,107,0.652,219,197,5,4,0.28,0,5.07,164,151,51,237,21.52,41,276,85.14,4,5,10.5,9.2,2474,8.9,2439,0.919,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016
Pittsburgh Penguins*,29,82,48,26,8,104,0.634,241,199,4,4,0.5,-0.01,5.37,182,154,48,261,18.39,40,257,84.44,11,5,8.5,8.9,2722,8.9,2436,0.918,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016
Anaheim Ducks*,27.4,82,46,25,11,103,0.628,215,188,3,4,0.27,-0.05,4.91,152,148,56,245,22.86,37,290,87.24,7,3,12.5,11.1,2483,8.7,2258,0.917,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016
